name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Planet 51,Firebrand Games,17th Nov 09,DS,0.39m,0.22m,0.14m,,0.04m
Skylanders Giants,Unknown,18th Nov 12,WiiU,0.39m,0.23m,0.13m,,0.04m
Rumble Roses,Yuke's Future Media Creators,09th Nov 04,PS2,0.39m,0.19m,0.15m,,0.05m
Tomb Raider: Anniversary,Crystal Dynamics,23rd Oct 07,X360,0.39m,0.12m,0.22m,,0.05m
Harry Potter and the Deathly Hallows - Part 1,EA Bright Light,09th Nov 10,PS3,0.39m,0.13m,0.20m,,0.07m
Fishing Resort,Bandai Namco Games,22nd Nov 11,Wii,0.39m,0.14m,,0.25m,0.01m
Fantastic Four: Rise of the Silver Surfer,7 Studios,15th Jun 07,PS2,0.39m,0.19m,0.15m,,0.05m
Ultimate Spider-Man,Treyarch,22nd Sep 05,XB,0.39m,0.26m,0.11m,,0.02m
Juiced 2: Hot Import Nights,Juice Games,17th Sep 07,PS2,0.39m,0.19m,0.15m,0.01m,0.05m
Tower Wars,SuperVillain Studios,,PC,,,,,
NHL 99,MBL Research,01st Oct 98,N64,0.39m,0.38m,0.01m,,0.00m
Combat of Giants: Dinosaurs 3D,Ubisoft,22nd Mar 11,3DS,0.39m,0.25m,0.07m,0.05m,0.03m
Legends of WrestleMania,Yuke's,24th Mar 09,X360,0.39m,0.20m,0.15m,,0.04m
Danball Senki,Level 5,16th Jun 11,PSP,0.39m,,,0.39m,
NBA Jam,EA Tiburon,16th Nov 10,X360,0.39m,0.27m,0.09m,,0.03m
NASCAR Heat,Monster Games Inc.,06th Nov 00,PS,0.39m,0.22m,0.15m,,0.03m
Bloody Roar,Eighting / Raizing,01st Feb 98,PS,0.39m,0.22m,0.15m,,0.03m
Bump 'n' Jump,Mattel,01st Jan 83,2600,0.39m,0.37m,0.02m,,0.00m
Mobile Suit Gundam: Lost War Chronicles,Bandai,01st Aug 02,PS2,0.39m,,,0.39m,
Disney's Brother Bear,Vicarious Visions,04th Nov 03,GBA,0.39m,0.28m,0.10m,,0.01m
FIFA Soccer 12,EA Canada,27th Sep 11,3DS,0.39m,0.08m,0.27m,,0.04m
Trine 3: The Artifacts of Power,Frozenbyte,20th Aug 15,PC,,,,,
NBA Live 09,EA Canada,07th Oct 08,PS2,0.39m,0.32m,0.01m,0.01m,0.05m
Ener-G: Gym Rockets,Mud Duck Productions,21st Oct 08,DS,0.39m,0.36m,,,0.03m
Super Monkey Ball: Step & Roll,Sega,09th Feb 10,Wii,0.39m,0.15m,0.19m,,0.04m
The House of The Dead III,Wow Entertainment,24th Oct 02,XB,0.39m,0.29m,0.08m,,0.01m
Dancing with the Stars: We Dance!,Zoe Mode,21st Oct 08,DS,0.39m,0.36m,,,0.03m
LEGO Marvel's Avengers,Traveller's Tales,26th Jan 16,X360,0.39m,0.19m,0.17m,,0.03m
Fire Emblem: Fuuin no Tsurugi,Intelligent Systems,29th Mar 02,GBA,0.39m,,,0.39m,
Iron Man 2,"Sega Studios, San Francisco",04th May 10,PS3,0.39m,0.14m,0.19m,,0.07m
One Piece Unlimited World: Red,Ganbarion,08th Jul 14,3DS,0.39m,0.05m,0.05m,0.28m,0.01m
Just Dance 2018,Ubisoft Paris,24th Oct 17,Wii,0.39m,0.14m,0.22m,,0.03m
Final Fantasy Crystal Chronicles: The Crystal Bearers,Square Enix,26th Dec 09,Wii,0.39m,0.21m,0.08m,0.08m,0.03m
NBA Live 09,EA Canada,07th Oct 08,PSP,0.39m,0.23m,0.07m,0.03m,0.06m
Laser Blast,Activision,01st Mar 81,2600,0.39m,0.37m,0.02m,,0.00m
Just Dance 2016,Ubisoft Paris,20th Oct 15,PS4,0.39m,0.19m,0.13m,,0.07m
Deus Ex: Mankind Divided,Eidos Montreal,23rd Aug 16,XOne,0.39m,0.25m,0.11m,,0.04m
Thrasher Presents: Skate and Destroy,Z-Axis,31st Oct 99,PS,0.39m,0.22m,0.15m,,0.03m
Alpha Protocol,Obsidian Entertainment,01st Jun 10,X360,0.39m,0.23m,0.13m,,0.04m
Dungeon Siege III,Obsidian Entertainment,21st Jun 11,PS3,0.39m,0.17m,0.13m,0.03m,0.06m
Are You Smarter than a 5th Grader? Make the Grade,THQ,20th Oct 08,DS,0.39m,0.36m,,,0.03m
NHL 18,EA Canada,15th Sep 17,XOne,0.39m,0.32m,0.03m,,0.04m
SpongeBob's Truth or Square (US sales),Heavy Iron Studios,26th Oct 09,PSP,0.39m,0.39m,0.00m,,
Donkey Konga 2,Namco,09th May 05,GC,0.39m,0.30m,0.08m,,0.01m
Just Dance 2014,Ubisoft Paris,08th Oct 13,PS3,0.39m,0.17m,0.15m,,0.07m
Tear Ring Saga Yutona Eiyuu Senki,ASCII Entertainment / Tirnanog,24th May 01,PS,0.39m,,,0.37m,0.03m
SpongeBob's Truth or Square (US sales),Heavy Iron Studios,26th Oct 09,Wii,0.39m,0.38m,0.01m,,
Condemned 2: Bloodshot,Monolith Productions,11th Mar 08,PS3,0.39m,0.17m,0.16m,,0.06m
Taiko no Tatsujin Wii: Ketteiban,Bandai Namco Games,23rd Nov 11,Wii,0.39m,,,0.39m,
Disney Princess: Enchanting Storybooks,THQ,01st Nov 11,Wii,0.39m,0.25m,0.10m,,0.03m
Monopoly Streets,Electronic Arts,26th Oct 10,PS3,0.39m,0.16m,0.17m,,0.06m
SSX 3,EA Canada,20th Oct 03,XB,0.39m,0.29m,0.08m,,0.01m
Madden NFL 2005,Exient Entertainment,09th Aug 04,GBA,0.39m,0.28m,0.10m,,0.01m
All-Star Baseball 2000,Iguana Entertainment,31st Mar 99,N64,0.39m,0.36m,0.03m,,0.00m
BattleTanx: Global Assault,3DO,31st Aug 99,N64,0.39m,0.31m,0.07m,,0.00m
Custom Robo V2,Noise Inc.,10th Nov 00,N64,0.39m,,,0.34m,0.05m
Extreme-G: XG2,Probe Entertainment Limited,07th Oct 98,N64,0.39m,0.31m,0.07m,,0.00m
Hatsune Miku: Project DIVA F,Sega,04th Mar 14,All,,,,,
Ryu ga Gotoku Ishin!,Sega,22nd Feb 14,All,,,,,
Monster Jam: Urban Assault,Torus Games,28th Oct 08,DS,0.39m,0.36m,0.00m,,0.03m
Batman: Arkham VR,Rocksteady Studios,11th Oct 16,PS4,0.39m,0.32m,,,0.07m
Chibi-Robo! Plug into Adventure!,skip Ltd.,06th Feb 06,GC,0.39m,0.23m,0.06m,0.09m,0.01m
Star Wars The Clone Wars: Republic Heroes,Krome Studios,06th Oct 09,X360,0.39m,0.18m,0.17m,,0.04m
Jampack Winter 2003 (RP-T),Sony Computer Entertainment America,15th Oct 03,PS2,0.39m,0.19m,0.15m,,0.05m
Dragon's Crown,Vanillaware,06th Aug 13,PSV,0.39m,0.14m,0.06m,0.12m,0.07m
Kengo: Master of Bushido,LightWeight,03rd Jan 01,PS2,0.39m,0.16m,0.13m,0.06m,0.04m
Blood Omen 2,Crystal Dynamics,21st Mar 02,PS2,0.39m,0.19m,0.15m,,0.05m
Advance Wars: Dual Strike,Intelligent Systems,22nd Aug 05,DS,0.39m,0.30m,0.03m,0.04m,0.03m
Super Fire ProWrestling,Human Club,20th Dec 91,SNES,0.39m,,,0.39m,0.00m
Cabela's Dangerous Hunts 2,Sand Grain Studios,15th Nov 05,PS2,0.39m,0.19m,0.15m,,0.05m
Chessmaster,Ubisoft Romania,28th May 03,PS2,0.39m,0.19m,0.15m,,0.05m
Fatal Fury,SNK Corporation,01st Apr 93,SNES,0.39m,,,0.39m,
LocoRoco,SCE Japan Studio,05th Sep 06,PSP,0.39m,0.14m,0.05m,0.16m,0.03m
The Evil Within 2,Tango Gameworks,13th Oct 17,XOne,0.39m,0.25m,0.10m,,0.04m
Madden NFL 11,EA Tiburon,10th Aug 10,PSP,0.39m,0.36m,,,0.03m
Outlast II,Red Barrels,,PC,,,,,
Red Faction: Armageddon,Volition Inc.,07th Jun 11,X360,0.39m,0.18m,0.16m,0.01m,0.04m
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,Alpha Unit,27th Apr 01,GB,0.39m,,,0.39m,
Ice Age 2: The Meltdown,Eurocom Entertainment Software,14th Mar 06,PS2,0.39m,0.19m,0.15m,,0.05m
The Sims 2,Maxis,24th Oct 05,GBA,0.39m,0.28m,0.10m,,0.01m
RWBY: Grimm Eclipse,Rooster Teeth Games,,PC,,,,,
Robert Ludlum's The Bourne Conspiracy,High Moon Studios,03rd Jun 08,PS3,0.39m,0.18m,0.14m,,0.06m
Super Famista 3,Namco,04th Mar 94,SNES,0.39m,,,0.39m,
Auto Modellista,Capcom,25th Mar 03,PS2,0.39m,0.19m,0.15m,,0.05m
Mass Effect 2,BioWare Corp.,26th Jan 10,PC,0.39m,0.01m,0.32m,,0.05m
Hitman: Blood Money,IO Interactive,30th May 06,X360,0.39m,0.29m,0.06m,0.01m,0.03m
Tom Clancy's Ghost Recon 2: Summit Strike,Red Storm Entertainment,02nd Aug 05,XB,0.39m,0.29m,0.08m,,0.01m
Silent Hill: Homecoming,Double Helix Games,30th Sep 08,PS3,0.39m,0.18m,0.15m,,0.06m
Zone of the Enders HD Collection,Kojima Productions,30th Oct 12,PS3,0.39m,0.21m,0.04m,0.09m,0.05m
SpongeBob vs The Big One: Beach Party Cook Off,THQ,03rd Mar 09,DS,0.39m,0.24m,0.11m,,0.04m
Tiger Woods PGA Tour 08,EA Salt Lake,28th Aug 07,PS2,0.39m,0.19m,0.15m,,0.05m
Hooked! Again: Real Motion Fishing,SIMS,03rd Nov 09,Wii,0.39m,0.36m,0.00m,,0.03m
Tiger Woods PGA Tour 14,EA Tiburon,26th Mar 13,PS3,0.39m,0.16m,0.16m,,0.06m
Karaoke Revolution Presents American Idol Encore,Blitz Games,05th Feb 08,PS2,0.39m,0.19m,0.15m,,0.05m
Get Fit with Mel B,Lightning Fish,20th Oct 10,PS3,0.39m,0.15m,0.16m,,0.07m
Airlock,Data Age,01st Jan 82,2600,0.39m,0.36m,0.02m,,0.00m
MotoGP 08,MileStone Inc.,28th Oct 08,PS3,0.39m,0.07m,0.24m,,0.08m
Metal Gear Solid: Snake Eater 3D,Konami Computer Entertainment Japan,21st Feb 12,3DS,0.39m,0.15m,0.12m,0.10m,0.02m
Tokimeki Memorial 2,KCET,25th Nov 99,PS,0.39m,,,0.36m,0.03m
EA Sports Active 2,EA Vancouver,16th Nov 10,X360,0.39m,0.18m,0.16m,,0.04m
LEGO Star Wars III: The Clone Wars,Traveller's Tales,22nd Mar 11,PSP,0.39m,0.14m,0.16m,,0.08m
Farming Simulator 2013,Giants Software,19th Nov 13,X360,0.39m,0.22m,0.13m,0.00m,0.03m
Little Nightmares,Tarsier Studios,28th Apr 17,PS4,0.39m,0.18m,0.12m,0.02m,0.06m
Harry Potter: Quidditch World Cup,Magic Pockets,28th Oct 03,GBA,0.39m,0.28m,0.10m,,0.01m
Tropico 5,Haemimont Games,28th Apr 15,PS4,0.38m,0.07m,0.18m,0.08m,0.05m
Wipeout 2048,Studio Liverpool,15th Feb 12,PSV,0.38m,0.13m,0.19m,,0.06m
Evil Dead: Fistfull of Boomstick,VIS Entertainment,20th May 03,PS2,0.38m,0.19m,0.15m,,0.05m
Dance Party: Pop Hits,Broadsword Interactive,08th May 09,Wii,0.38m,,0.36m,,0.02m
Metal Gear Solid HD Collection,Bluepoint Games,08th Nov 11,X360,0.38m,0.25m,0.10m,,0.03m
Triple Play 97,EA Sports,24th Jun 96,PS,0.38m,0.21m,0.15m,,0.03m
"Cook, Serve, Delicious!",Vertigo Gaming Inc.,08th Oct 13,PC,,,,,
Super Soccer,Human Entertainment,01st May 92,SNES,0.38m,,,0.38m,
Marvel: Ultimate Alliance,Raven Software,17th Nov 06,PS3,0.38m,0.33m,0.02m,,0.03m
Wario Land II (GBC),Nintendo R&D1,02nd Mar 99,GB,0.38m,,,0.38m,
San Francisco Rush: Extreme Racing,Climax Entertainment,28th Feb 98,PS,0.38m,0.21m,0.15m,,0.03m
Diner Dash: Sizzle & Serve,GameLab / PlayFirst,23rd May 07,DS,0.38m,0.33m,0.02m,,0.03m
GRID 2,Unknown,28th May 13,PS3,0.38m,0.07m,0.25m,0.01m,0.06m
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,Human Entertainment,25th Jun 98,PS,0.38m,,,0.36m,0.03m
Yoshi Touch & Go,Nintendo EAD,14th Mar 05,DS,0.38m,0.34m,0.02m,,0.03m
Viking: Battle for Asgard,The Creative Assembly,25th Mar 08,PS3,0.38m,0.14m,0.18m,,0.07m
Wii Sports Club,Nintendo,25th Jul 14,WiiU,0.38m,0.17m,0.14m,0.04m,0.03m
NCAA Football 08,EA Tiburon,17th Jul 07,PS3,0.38m,0.35m,,,0.03m
ESPN College Hoops 2K5,Visual Concepts,17th Nov 04,XB,0.38m,0.29m,0.08m,,0.01m
Naruto: Clash of Ninja Revolution 2,8ing/Raizing,21st Oct 08,Wii,0.38m,0.34m,0.02m,,0.03m
Looney Tunes: Acme Arsenal,Red Tribe,09th Oct 07,PS2,0.38m,0.19m,0.15m,,0.05m
Wolfenstein: The New Order,MachineGames,20th May 14,X360,0.38m,0.18m,0.17m,,0.03m
Junior Classic Games,Uacari,03rd Nov 09,DS,0.38m,0.26m,0.09m,,0.03m
The Cat in the Hat,NewKidCo,26th Apr 05,GBA,0.38m,0.27m,0.10m,,0.01m
Raving Rabbids: Travel in Time 3D,Ubisoft Paris,10th Apr 11,3DS,0.38m,0.11m,0.24m,,0.04m
NFL GameDay 2002,Red Zone Entertainment,03rd Dec 01,PS2,0.38m,0.19m,0.15m,,0.05m
Turok: Evolution,Acclaim Studios Austin,31st Aug 02,GC,0.38m,0.30m,0.08m,,0.01m
Jam Sessions: Sing and Play Guitar (US sales),Plato,11th Sep 07,DS,0.38m,0.38m,0.00m,,
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,Bandai,02nd May 02,PS2,0.38m,,,0.38m,
Ice Age,A2M,18th Mar 02,GBA,0.38m,0.27m,0.10m,,0.01m
Naruto Shippuden: Ultimate Ninja Heroes 3,CyberConnect2,11th May 10,PSP,0.38m,0.13m,0.04m,0.19m,0.03m
Just Dance 4,Ubisoft,18th Nov 12,WiiU,0.38m,0.21m,0.14m,,0.03m
Sega Superstars Tennis,Sumo Digital,18th Mar 08,PS2,0.38m,0.10m,0.00m,,0.28m
Headhunter,Amuze,09th May 02,PS2,0.38m,0.19m,0.15m,,0.05m
Lego Marvel Super Heroes: Universe in Peril,TT Fusion,22nd Oct 13,DS,0.38m,0.22m,0.13m,,0.03m
Shin Megami Tensei: Devil Summoner,Atlus Co.,25th Dec 95,SAT,0.38m,,,0.38m,
Brunswick Pro Bowling,Point of View,21st Aug 07,Wii,0.38m,0.35m,0.01m,,0.03m
Marvel Nemesis: Rise of the Imperfects,Nihilistic Software,20th Sep 05,GC,0.38m,0.30m,0.08m,,0.01m
Saints Row: The Third,Volition Inc.,15th Nov 11,PC,0.38m,0.16m,0.16m,,0.05m
ESPN Extreme Games,Sony Interactive Studios America,01st Jan 95,PS,0.38m,0.11m,0.08m,0.17m,0.03m
Ghost Trick: Phantom Detective,Capcom,11th Jan 11,DS,0.38m,0.17m,0.08m,0.12m,0.02m
Ninja: Shadow of Darkness,Unknown,30th Sep 98,PS,0.38m,0.21m,0.14m,,0.02m
SD Gundam G Generation-F,Bandai,03rd Aug 00,PS,0.38m,,,0.36m,0.02m
Bratz: Rock Angelz,Blitz Games,06th Oct 05,PS2,0.38m,0.19m,0.15m,,0.05m
FlatOut,Bugbear Entertainment,12th Jul 05,PS2,0.38m,0.19m,0.15m,,0.05m
Ice Age: Dawn of the Dinosaurs,Artificial Mind and Movement,30th Jun 09,DS,0.38m,0.20m,0.15m,,0.04m
Phoenix Wright: Ace Attorney - Dual Destinies,Capcom,01st Jan 14,3DS,0.38m,,,0.38m,
Iron Man 2,"Sega Studios, San Francisco",04th May 10,PSP,0.38m,0.18m,0.13m,,0.08m
SSX 3,EA Canada,20th Oct 03,GC,0.38m,0.29m,0.08m,,0.01m
NCAA Football 11,EA Tiburon,13th Jul 10,PS2,0.38m,0.19m,0.15m,,0.05m
Sesame Street: Elmo's A-to-Zoo Adventure,Black Lantern Studios,20th Oct 10,Wii,0.38m,0.35m,,,0.03m
Disney's Lilo & Stitch 2: Hamsterveil Havoc,Climax,12th Oct 04,GBA,0.38m,0.27m,0.10m,,0.01m
FIFA 13,EA Canada,25th Sep 12,PSP,0.38m,0.06m,0.22m,0.02m,0.08m
Rayman Legends,Ubisoft Montpellier,18th Feb 14,XOne,0.38m,0.13m,0.22m,,0.03m
Risk: Global Domination,Cyberlore Studios,05th Nov 03,PS2,0.38m,0.19m,0.15m,,0.05m
Bloody Trapland,2Play,,PC,,,,,
Tamagotchi Connection: Corner Shop 3,NanaOn-Sha,17th Jun 08,DS,0.38m,0.06m,0.00m,0.31m,0.01m
Tales of Hearts R,7thChord,11th Nov 14,PSV,0.38m,0.11m,0.12m,0.09m,0.07m
Mobile Suit Gundam version 2.0,Unknown,29th Mar 96,PS,0.38m,,,0.36m,0.02m
Grandia Xtreme,Game Arts,30th Sep 02,PS2,0.38m,0.07m,0.05m,0.25m,0.02m
Virtua Tennis 2009,Sumo Digital,09th Jun 09,PS3,0.38m,0.09m,0.22m,,0.06m
Silent Scope,KCET,23rd Oct 00,PS2,0.38m,0.19m,0.15m,,0.05m
Dragon Quest & Final Fantasy in Itadaki Street Special,Paon,22nd Dec 04,PS2,,,,,
Ennichi no Tatsujin,Namco Bandai Games,02nd Dec 06,Wii,0.10m,,,0.10m,
Final Fantasy Adventure,Square,01st Nov 91,GB,0.38m,,,0.38m,
Dora The Explorer: Dora Saves the Snow Princess,High Voltage Software,27th Oct 08,PS2,0.38m,0.19m,0.15m,,0.05m
The Incredible Hulk,Edge of Reality,05th Jun 08,PS2,0.38m,0.32m,0.01m,,0.05m
Mercenaries 2: World in Flames,Pi Studios,31st Aug 08,PS2,0.38m,0.21m,0.00m,0.00m,0.17m
FIFA 14,EA Canada,24th Sep 13,PC,0.38m,0.01m,0.35m,,0.02m
Tokimeki Memorial: Forever with You,Konami,19th Jul 96,SAT,0.38m,,,0.38m,
MediEvil II,SCEE,30th Apr 00,PS,0.38m,0.21m,0.14m,,0.02m
Hunter: The Reckoning,High Voltage Software,21st May 02,XB,0.38m,0.28m,0.08m,,0.01m
MX vs. ATV Untamed,Rainbow Studios,17th Dec 07,PS2,0.38m,0.32m,0.01m,,0.05m
The Vanishing of Ethan Carter,The Astronauts,26th Sep 14,PC,,,,,
Rogue Trip: Vacation 2012,SingleTrac,30th Sep 98,PS,0.38m,0.21m,0.14m,,0.02m
Dai-4-Ji Super Robot Taisen,Banpresto,17th Mar 95,SNES,0.38m,,,0.38m,
Just Dance 2016,Ubisoft Paris,20th Oct 15,XOne,0.38m,0.30m,0.04m,,0.04m
Castlevania: Lords of Shadow - Ultimate Edition,Mercury Steam,,PC,,,,,
Cabela's Dangerous Hunts 2009,Activision,23rd Sep 08,Wii,0.38m,0.35m,,,0.03m
Scribblenauts: Unlimited,5TH Cell,18th Nov 12,WiiU,0.38m,0.25m,0.10m,,0.04m
Pro Evolution Soccer 2011 3D,Konami,25th Mar 11,3DS,0.38m,0.11m,0.13m,0.11m,0.02m
Persona 4: Dancing All Night,Dingo Inc.,29th Sep 15,PSV,0.38m,0.12m,0.04m,0.16m,0.05m
Pokémon Channel,Ambrella,01st Dec 03,GC,0.38m,0.24m,0.06m,0.07m,0.01m
NBA 2K7,Visual Concepts,13th Nov 06,PS3,0.38m,0.30m,0.04m,,0.03m
Need for Speed: Nitro,EA Montreal,02nd Nov 09,DS,0.38m,0.21m,0.13m,,0.04m
The Dog Island,Yuke's Media Creations,06th May 08,Wii,0.38m,0.34m,0.01m,,0.03m
Rebel Galaxy,Double Damage Games,01st Jan 16,PC,,,,,
Tiger Woods PGA Tour 08,EA Tiburon,28th Aug 07,PSP,0.38m,0.14m,0.15m,,0.09m
Moto Racer World Tour,Delphine Software International,06th Nov 00,PS,0.38m,0.21m,0.14m,,0.02m
Hatsune Miku: Project Mirai DX,Sega,08th Sep 15,3DS,0.38m,0.20m,0.04m,0.11m,0.03m
NCAA Final Four 2000,989 Sports,31st Oct 99,PS,0.38m,0.21m,0.14m,,0.02m
Devil May Cry HD Collection,Capcom,03rd Apr 12,X360,0.44m,0.28m,0.11m,0.01m,0.04m
Cogs,Lazy 8 Studios,14th Apr 09,PC,,,,,
Madagascar: Escape 2 Africa,Idol Minds,04th Nov 08,PS2,0.38m,0.12m,0.00m,,0.26m
Doom (2016),id Software,13th May 16,PC,0.38m,0.11m,0.24m,,0.03m
Scooby-Doo! and the Spooky Swamp,Torus Games,14th Sep 10,DS,0.38m,0.25m,0.10m,,0.03m
Dancing with the Stars: We Dance!,Zoe Mode,21st Oct 08,Wii,0.38m,0.35m,,,0.03m
Magic: The Gathering - Duels of the Planeswalkers 2012,Stainless Games,15th Jun 11,PC,,,,,
Hangman,Atari,01st Jan 78,2600,0.38m,0.35m,0.02m,,0.00m
Petz Rescue: Wildlife Vet,Virtual Toys / Lexis Numerique,28th Oct 08,DS,0.38m,0.35m,0.00m,,0.03m
Paws & Claws: Pampered Pets,Radon Labs GmbH,05th Jan 09,DS,0.38m,0.35m,,,0.03m
Guitar Hero Live,FreeStyleGames,20th Oct 15,PS3,0.38m,0.16m,0.16m,,0.06m
Imagine: Party Babyz,Visual Impact,11th Nov 08,Wii,0.38m,0.33m,0.02m,,0.03m
Gravitar,Atari,01st Jan 83,2600,0.38m,0.35m,0.02m,,0.00m
This is the Police,Weappy Studio,02nd Aug 16,PC,,,,,
FIFA 13,EA Canada,25th Sep 12,PC,0.38m,0.02m,0.32m,,0.04m
EyeToy Play 2,SCEE London Studio,16th Aug 05,PS2,0.38m,0.18m,0.14m,,0.05m
Dance Dance Revolution Ultramix 3,Konami Computer Entertainment Hawaii,15th Nov 05,XB,0.38m,0.28m,0.08m,,0.01m
Monster Jam: Path of Destruction,Virtuos,09th Nov 10,DS,0.38m,0.34m,0.00m,,0.03m
WWE SmackDown vs. Raw 2011,JAKKS Pacific,26th Oct 10,PS2,0.38m,0.24m,0.07m,,0.07m
Peppa Pig: The Game,Asylum Entertainment,04th Dec 09,Wii,0.38m,,0.34m,,0.03m
Genital Jousting,Free Lives,,PC,,,,,
Mountain,Double Fine Productions,01st Jul 14,PC,,,,,
MLB 16: The Show,SCE San Diego Studio,29th Mar 16,PS3,0.38m,0.30m,,,0.07m
Puppy Palace,Ubisoft,05th Feb 08,DS,0.38m,0.35m,,,0.03m
Harry Potter and the Prisoner of Azkaban,Electronic Arts,02nd Jun 04,GC,0.38m,0.29m,0.08m,,0.01m
Bionic Commando,GRIN,19th May 09,X360,0.28m,0.12m,0.12m,0.01m,0.03m
The Golden Compass,Shiny Entertainment,04th Dec 07,PSP,0.37m,0.11m,0.16m,,0.10m
NHL 15,EA Canada,09th Sep 14,PS3,0.37m,0.22m,0.09m,,0.07m
LEGO Batman 2: DC Super Heroes,TT Fusion,26th Jun 12,PSV,0.37m,0.16m,0.13m,,0.08m
Petz Rescue: Ocean Patrol,Magic Pockets,28th Oct 08,DS,0.37m,0.35m,,,0.03m
Solaris,Atari,13th Jul 86,2600,0.37m,0.35m,0.02m,,0.00m
Life is Strange,DONTNOD Entertainment,19th Jan 16,PS4,0.37m,0.11m,0.16m,0.05m,0.05m
NBA 2K10,Visual Concepts,09th Nov 09,Wii,0.37m,0.34m,0.00m,,0.03m
Batman: Arkham City Armored Edition,Rocksteady Studios,18th Nov 12,WiiU,0.37m,0.16m,0.18m,,0.03m
EA Sports MMA,EA Tiburon,19th Oct 10,PS3,0.37m,0.16m,0.14m,0.01m,0.06m
Tobal 2,DreamFactory,25th Apr 97,PS,0.37m,,,0.35m,0.02m
Warriors Orochi 2,Omega Force,20th Mar 12,PS3,0.37m,,,0.37m,
Tiger Woods PGA Tour 09,EA Tiburon,26th Aug 08,PS2,0.37m,0.16m,0.00m,,0.21m
Ultimate Spider-Man,Treyarch,21st Sep 05,GC,0.37m,0.29m,0.07m,,0.01m
Major League Baseball 2K6,Kush Games,10th Apr 06,X360,0.37m,0.34m,,,0.03m
NBA Inside Drive 2002,High Voltage Software,21st Jan 02,XB,0.37m,0.28m,0.08m,,0.01m
Prince of Persia: The Forgotten Sands,Quebec City,18th May 10,PSP,0.37m,0.09m,0.18m,0.01m,0.10m
Minecraft,Other Ocean Interactive,10th Nov 17,3DS,0.37m,0.33m,,,0.04m
Firewall: Zero Hour,First Contact Entertainment Inc.,29th Aug 18,PS4,0.37m,0.14m,0.16m,0.02m,0.06m
Kileak: The DNA Imperative,Genki,01st Jan 95,PS,0.37m,0.08m,0.06m,0.21m,0.02m
Petz: Catz 2,Yuke's Media Creations,14th Nov 07,PS2,0.37m,0.18m,0.14m,,0.05m
ZhuZhu Pets: Featuring The Wild Bunch,Black Lantern Studios,19th Oct 10,Wii,0.37m,0.31m,0.03m,,0.03m
Resident Evil: Origins Collection,Capcom,19th Jan 16,PS4,0.37m,0.07m,0.18m,0.07m,0.05m
Cabela's Big Game Hunter 2012,Activision,27th Sep 11,Wii,0.37m,0.33m,0.02m,,0.02m
Go Vacation,Bandai Namco Studios,27th Jul 18,NS,0.37m,0.12m,0.22m,0.01m,0.03m
Kingdom Under Fire: Circle of Doom,Blue Side,08th Jan 08,X360,0.37m,0.18m,0.12m,0.04m,0.04m
"Monsters, Inc. Scream Arena",Radical Entertainment,14th Sep 02,GC,0.37m,0.29m,0.07m,,0.01m
Reel Fishing III,Natsume,11th Sep 03,PS2,0.37m,0.18m,0.14m,,0.05m
Quake 4,id Software / Raven Software,18th Nov 05,X360,0.37m,0.32m,0.02m,,0.03m
Guitar Hero On Tour: Modern Hits,Activision,09th Jun 09,DS,0.37m,0.13m,0.20m,,0.04m
Trivial Pursuit,Adrenalin Interactive,10th Mar 09,X360,0.37m,0.12m,0.21m,,0.04m
Cabela's Deer Hunt 2005 Season,Sand Grain Studios,26th Aug 04,PS2,0.37m,0.18m,0.14m,,0.05m
Disgaea 5,Nippon Ichi Software,06th Oct 15,All,,,,,
Skate,EA Black Box,24th Sep 07,PS3,0.37m,0.29m,0.04m,0.00m,0.03m
Rampage: Total Destruction,"Pipeworks Software, Inc.",24th Apr 06,PS2,0.37m,0.18m,0.14m,,0.05m
High Heat Major League Baseball 2003,3DO,09th Feb 02,PS2,0.37m,0.18m,0.14m,,0.05m
Super Formation Soccer 94,Human Entertainment,17th Jun 94,SNES,0.37m,,,0.37m,
Rec Room Games,Arcade Moon,01st Dec 09,Wii,0.37m,0.35m,,,0.03m
Middle-Earth: Shadow of Mordor,Monolith Productions,30th Sep 14,PC,0.37m,0.14m,0.20m,,0.03m
Revolution Ace,Unknown,01st Apr 14,PC,,,,,
AI War: Fleet Command,Arcen Games,22nd Oct 09,PC,,,,,
Panzer Dragoon,Team Andromeda,11th May 95,SAT,0.37m,,,0.37m,
Streets of Rogue,Matt Dabrowski,,PC,,,,,
Burnout Paradise Remastered,Stellar Entertainment,16th Mar 18,PS4,0.37m,0.08m,0.22m,0.01m,0.06m
Spider-Man: Friend or Foe,Next Level Games,02nd Oct 07,PS2,0.37m,0.31m,0.01m,,0.05m
Yarudora Series Vol.1: Double Cast,Sugar & Rockets,25th Jun 98,PS,0.37m,,,0.35m,0.02m
Thief,Eidos Montreal,25th Feb 14,PS3,0.37m,0.10m,0.19m,0.03m,0.06m
Dynasty Warriors 9,Omega Force,13th Feb 18,PS4,0.37m,0.10m,0.06m,0.17m,0.03m
DiRT 2,Codemasters,08th Sep 09,Wii,0.37m,0.10m,0.23m,,0.04m
Never Alone,Unknown,18th Nov 14,PC,,,,,
