name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Tony Hawk's,Neversoft,29th Sep 99,Series,,,,,
Call of Duty: Black Ops II,Treyarch,13th Nov 12,All,,,,,
Tom Clancy's Splinter Cell,Ubisoft,17th Nov 02,Series,,,,,
Age of Empires,Ensemble Studios,15th Oct 97,Series,,,,,
Ratchet & Clank,Insomniac Games,04th Nov 02,Series,,,,,
New Super Mario Bros.,Nintendo EAD,15th May 06,DS,29.85m,11.28m,9.19m,6.50m,2.89m
The Legend of Zelda: Breath of the Wild,Nintendo,03rd Mar 17,All,,,,,
Super Smash Bros. Ultimate,Bandai Namco Games,07th Dec 18,NS,8.95m,4.22m,1.72m,2.41m,0.61m
New Super Mario Bros. Wii,Nintendo EAD,15th Nov 09,Wii,28.51m,14.53m,7.01m,4.70m,2.27m
Tetris,Bullet Proof Software,31st Jul 89,GB,30.26m,23.20m,2.26m,4.22m,0.58m
Call of Duty: Black Ops,Treyarch,09th Nov 10,All,,,,,
Call of Duty: Modern Warfare,Infinity Ward,25th Oct 19,All,,,,,
Call of Duty: Modern Warfare 3,Infinity Ward,08th Nov 11,All,,,,,
Command & Conquer,Westwood Studios,26th Sep 95,Series,,,,,
Diablo III,Blizzard Entertainment,15th May 15,All,,,,,
Dying Light,Techland,27th Jan 15,Series,,,,,
James Bond,Richard Shepherd Software,01st Jan 83,Series,,,,,
Mario & Sonic at the Olympic Games,Sega,06th Nov 07,Series,,,,,
The Elder Scrolls V: Skyrim,Bethesda Game Studios,10th Nov 11,All,,,,,
Wii Play,Nintendo,12th Feb 07,Series,,,,,
The Legend of Zelda: Breath of the Wild,Nintendo EPD,03rd Mar 17,NS,9.46m,4.54m,2.94m,1.26m,0.73m
Nintendogs,Nintendo,22nd Aug 05,Series,,,,,
Splatoon,Nintendo,29th May 15,Series,,,,,
Duck Hunt,Nintendo R&D1,15th Oct 85,NES,28.31m,26.93m,0.63m,0.28m,0.47m
Naruto: Ultimate Ninja,CyberConnect2,26th Jun 06,Series,,,,,
Wii Play,Nintendo EAD,12th Feb 07,Wii,28.92m,13.96m,9.18m,2.93m,2.85m
Devil May Cry,Capcom,16th Oct 01,Series,,,,,
Farming Simulator,Giants Software,14th Apr 08,Series,,,,,
Tales of,Bandai Namco Studios,30th Sep 98,Series,,,,,
Grand Theft Auto: San Andreas,Rockstar North,26th Oct 04,All,,,,,
Yoshi,Nintendo,01st Jun 92,Series,,,,,
Portal,Valve,10th Oct 07,Series,,,,,
Borderlands 2,Gearbox Software,18th Sep 12,All,,,,,
FIFA 18,EA Vancouver,26th Sep 17,All,,,,,
Rayman,Ubisoft,19th Sep 95,Series,,,,,
Pokémon Sword / Shield,Game Freak,15th Nov 19,NS,,,,,
Super Mario Odyssey,Nintendo EPD,27th Oct 17,NS,11.71m,5.10m,3.75m,2.02m,0.84m
Grand Theft Auto IV,Rockstar North,02nd Dec 08,All,,,,,
Human: Fall Flat,No Brakes Games,22nd Jul 16,All,,,,,
Puyo Puyo,Compile,11th Feb 02,Series,,,,,
Tiger Woods PGA Tour,EA Redwood Shores,31st Aug 98,Series,,,,,
Batman: Arkham,Rocksteady Studios,25th Aug 09,Series,,,,,
Jikkyo Powerful Pro Yakyu,Konami,11th Mar 94,Series,,,,,
Kinect Adventures!,Good Science Studio,04th Nov 10,X360,22.10m,15.09m,4.97m,0.24m,1.81m
